37.1,1.611,-0.3493381441
37.2,1.623,-0.3565615118
37.3,1.636,-0.3641287982
37.4,1.648,-0.3718855977
37.5,1.661,-0.3799542487
37.6,1.675,-0.3878522515
37.7,1.688,-0.3949128091
37.8,1.703,-0.4014306962
37.9,1.717,-0.4091074765
38,1.731,-0.4171185791
38.1,1.745,-0.424200803
38.2,1.759,-0.4308857918
38.3,1.773,-0.4380675256
38.4,1.788,-0.4448983073
38.5,1.802,-0.4520573914
38.6,1.817,-0.4587042034
38.7,1.832,-0.4654947519
38.8,1.846,-0.4709436595
38.9,1.86,-0.4746052921
39,1.872,-0.4796584249
39.1,1.884,-0.4863252342
39.2,1.894,-0.4902893007
39.3,1.901,-0.4886109531
39.4,1.904,-0.4912720919
39.5,1.903,-0.4973248541
39.6,1.902,-0.5028988123
39.7,1.9,-0.5012331009
39.8,1.898,-0.4999108016
39.9,1.896,-0.4999947548
40,1.894,-0.4986333251
40.1,1.89,-0.4975219071
40.2,1.886,-0.4953849912
40.3,1.881,-0.4939389527
40.4,1.876,-0.4929181039
40.5,1.87,-0.4906830192
40.6,1.864,-0.4871537387
40.7,1.858,-0.4828110039
40.8,1.85,-0.4763633907
40.9,1.842,-0.4694468379
41,1.832,-0.4635940194
41.1,1.824,-0.4583953321
41.2,1.809,-0.4488308728
41.3,1.796,-0.4422741234
41.4,1.782,-0.4329371154
41.5,1.768,-0.4244356751
41.6,1.754,-0.4150546193
41.7,1.738,-0.4055916369
41.8,1.721,-0.3957290053
41.9,1.703,-0.3853040636
42,1.685,-0.3746345341
42.1,1.671,-0.3636259139
42.2,1.651,-0.3523222208
42.3,1.635,-0.3415953219
42.4,1.62,-0.331143707
42.5,1.605,-0.3209549785
42.6,1.59,-0.3100095391
42.7,1.575,-0.2997584939
42.8,1.56,-0.2887791693
42.9,1.545,-0.2784368098
43,1.531,-0.2683378756
43.1,1.516,-0.2600245178
43.2,1.502,-0.2512668371
43.3,1.489,-0.240443483
43.4,1.475,-0.226737231
43.5,1.46,-0.209879145
43.6,1.444,-0.1911364645
43.7,1.428,-0.1771332622
43.8,1.412,-0.1641625762
43.9,1.395,-0.1514853239
44,1.379,-0.1410206258
44.1,1.362,-0.1301779598
44.2,1.345,-0.1199725866
44.3,1.329,-0.1110179424
44.4,1.312,-0.1021332592
44.5,1.296,-0.0918298289
44.6,1.28,-0.0802266523
44.7,1.264,-0.0698490515
44.8,1.247,-0.0594154708
44.9,1.231,-0.0477392487
45,1.215,-0.0373497456
45.1,1.198,-0.0274161138
45.2,1.181,-0.0171523336
45.3,1.165,-0.0067516486
45.4,1.149,0.0032727362
45.5,1.132,0.0133370794
45.6,1.116,0.0235923324
45.7,1.1,0.0337307341
45.8,1.084,0.0437595882
45.9,1.067,0.0547013879
46,1.051,0.0650905743
46.1,1.035,0.0754067525
46.2,1.019,0.0860172808
46.3,1.003,0.0971882865
46.4,0.987,0.1071516946
46.5,0.971,0.1171496138
46.6,0.955,0.126768142
46.7,0.939,0.1367689669
46.8,0.924,0.1461076736
46.9,0.908,0.1555453092
47,0.892,0.1660810262
47.1,0.876,0.1750527173
47.2,0.861,0.1843838692
47.3,0.845,0.1938712746
47.4,0.83,0.2039840966
47.5,0.813,0.2125286013
47.6,0.799,0.2209237963
47.7,0.784,0.2296026647
47.8,0.77,0.2402517498
47.9,0.758,0.2522833943
48,0.744,0.2646418214
48.1,0.73,0.2774141431
48.2,0.714,0.2908954024
48.3,0.698,0.3040359616
48.4,0.682,0.3177001774
48.5,0.666,0.3290456533
48.6,0.65,0.336750865
48.7,0.635,0.3440113366
48.8,0.62,0.3508677781
48.9,0.606,0.3596250415
49,0.591,0.3686321974
49.1,0.575,0.375323981
49.2,0.558,0.3818864524
49.3,0.543,0.3861688375
