,err_angle,err_dist,err_predict
254,0.4688286776,0.0054174307,0.0068064602
255,0.5300861291,0.0031376646,0.0084493166
256,0.5159180754,0.003645347,0.0067500789
257,0.5170534473,0.0035649633,0.0072656193
258,0.5211118452,0.0041213461,0.007731063
259,0.0371063333,0.0298038699,0.0257988328
260,0.6485205253,0.0008062628,0.032775235
261,0.6575185511,0.0048102823,0.0054101475
262,0.5790454562,0.0030962703,0.0070689325
263,0.5943945777,0.0033498669,0.0063715688
264,0.5902251419,0.0036279298,0.0067696213
265,0.5873608145,0.0033175846,0.0067944191
266,0.0774904192,0.0246477303,0.0215285608
267,0.3882786269,0.0003907387,0.0324513371
268,0.6763927578,0.000942773,0.0011109878
269,0.074122451,0.0008720384,0.0004843842
270,0.0871140804,0.0008541207,0.0004862065
271,0.0676781398,0.0009624431,0.0003978609
272,0.0752888586,0.0009036162,0.0004494793
273,0.0656528185,0.0033140096,0.0024832896
274,0.010200454,0.0002704382,0.0025606442
275,0.15412205,0.0033115563,0.0031357348
276,0.0244295329,0.001529744,0.0005703027
277,0.014258986,0.0016906025,0.0002131507
278,0.0061739236,0.0017333802,7.96858456929E-05
279,0.019182182,0.001912917,0.0002796663
280,0.021322284,0.0019118276,0.0002618928
281,0.4713229987,0.0139117667,0.0168205458
282,0.2002873136,0,0.0140474371
283,0.0467669017,0.0015019108,0.0015019108
284,0.0529430518,0.0004754466,0.0005077153
285,0.0451329565,0.0005658596,0.0001586258
286,0.0802293516,0.0007045378,0.000341083
287,0.0891843077,0.0007901985,0.0004204838
288,0.4183609865,0.008556039,0.009222857
289,0.2005410619,0,0.0082975307
290,0.1089470428,0.0008769478,0.0008769478
291,0.6146817706,0.000442959,0.0008747798
292,0.2006130655,0,0.0002698616
293,0.4632154067,0.0007407359,0.0007407359
294,0.2005334636,0,0.0004235467
295,0.2254117006,0.0004360157,0.0004360157
296,0.684520546,0.006289233,0.0068051851
297,0.2651911282,0.0024546185,0.0072697918
298,0.641416966,0.0011841524,0.0043209833
299,0.6201529243,0.0011205023,0.0022831085
300,0.6277687489,0.0013298662,0.0025066909
301,0.6008489084,0.0013163327,0.0025927576
302,0.1031646137,0.0072055693,0.0060433159
303,0.633497371,0.0003126648,0.0085698515
304,0.2863902546,0.0010311716,0.0011270987
305,0.1065474373,0.0009713278,0.0006148471
306,0.0712188272,0.0008674096,0.0003867095
307,0.0289897218,0.0007765237,0.000179459
308,0.0505919134,0.0008909847,0.0002839612
309,0.2448391856,0.0093614994,0.0093803235
310,0.1610924921,0.0004567358,0.0141954202
311,0.1848695093,0.0038263615,0.0036725994
312,0.119926339,0.0018058583,0.0016502407
313,0.1313185854,0.001913705,0.0015893057
314,0.1266702846,0.0019608526,0.0015167357
315,0.1401051921,0.0021024313,0.0018511448
316,0.6128133679,0.0096812865,0.011345455
317,0.2200505476,0.0003696095,0.013699964
318,0.2790758503,0.0030415541,0.0031051216
319,0.3632608128,0.0018994327,0.0035094193
320,0.3631239147,0.0019898483,0.0036772369
321,0.3502297736,0.0023212746,0.0041279364
322,0.3685383088,0.0020036369,0.0037632979
323,0.4398043735,0.0058858956,0.007881043
324,0.3722485849,0.0009361824,0.0068297333
325,0.3820605968,0.0048036835,0.005515021
326,0.3936478024,0.0035314156,0.0074888822
327,0.4119930679,0.0034297346,0.0066323185
